Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted,Profile,Source_Folder,Source_File
Avg_Fold_Accuracy,1.5,3.0,0.9210526315789476,FALSE,,0.9211,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,3.5,0.9035087719298244,FALSE,,0.9035,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,2.0,0.9140350877192984,FALSE,,0.9140,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,2.5,0.8929824561403509,FALSE,,0.8930,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,3.0,0.8789473684210527,FALSE,,0.8789,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,3.5,0.8491228070175438,FALSE,,0.8491,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,2.0,0.9087719298245612,TRUE,,0.9088,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,2.5,0.9017543859649122,TRUE,,0.9018,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,3.0,0.9087719298245616,TRUE,,0.9088,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,3.5,0.9140350877192984,TRUE,,0.9140,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,2.0,0.9070175438596492,TRUE,,0.9070,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,2.5,0.9157894736842106,TRUE,,0.9158,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,3.0,0.912280701754386,TRUE,,0.9123,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,3.5,0.8491228070175438,TRUE,,0.8491,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,2.0,0.9140350877192984,TRUE,,0.9140,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,2.5,0.9035087719298244,TRUE,,0.9035,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,3.0,0.8807017543859649,TRUE,,0.8807,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,3.5,0.8368421052631578,TRUE,,0.8368,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,2.0,0.977184675818173,FALSE,,0.9772,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,2.5,0.976149013133923,FALSE,,0.9761,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,3.0,0.9764618999995957,FALSE,,0.9765,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,3.5,0.9689429073626435,FALSE,,0.9689,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,2.0,0.9761423683511922,FALSE,,0.9761,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,ensemble_voting_summary_00-00.csv
