Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted
FNR_(False_Negative_Rate),1.5,3.5,0.0491,TRUE,0.0471,0.0491 ± 0.0471
FNR_(False_Negative_Rate),2.0,3.5,0.0421,TRUE,0.0404,0.0421 ± 0.0404
FPR_(False_Positive_Rate),1.0,2.0,0.0491,FALSE,0.0229,0.0491 ± 0.0229
FPR_(False_Positive_Rate),1.5,2.0,0.0982,FALSE,0.0294,0.0982 ± 0.0294
FPR_(False_Positive_Rate),2.0,2.0,0.0947,FALSE,0.0590,0.0947 ± 0.0590
FPR_(False_Positive_Rate),1.0,2.5,0.0772,FALSE,0.0505,0.0772 ± 0.0505
FPR_(False_Positive_Rate),1.5,2.5,0.0982,FALSE,0.0319,0.0982 ± 0.0319
FPR_(False_Positive_Rate),2.0,2.5,0.1579,FALSE,0.0595,0.1579 ± 0.0595
FPR_(False_Positive_Rate),1.0,3.0,0.0912,FALSE,0.0625,0.0912 ± 0.0625
FPR_(False_Positive_Rate),1.5,3.0,0.0982,FALSE,0.0505,0.0982 ± 0.0505
FPR_(False_Positive_Rate),2.0,3.0,0.1895,FALSE,0.0872,0.1895 ± 0.0872
FPR_(False_Positive_Rate),1.0,3.5,0.1263,FALSE,0.0637,0.1263 ± 0.0637
FPR_(False_Positive_Rate),1.5,3.5,0.1123,FALSE,0.0404,0.1123 ± 0.0404
FPR_(False_Positive_Rate),2.0,3.5,0.2702,FALSE,0.1783,0.2702 ± 0.1783
FPR_(False_Positive_Rate),1.0,2.0,0.0702,TRUE,0.0430,0.0702 ± 0.0430
FPR_(False_Positive_Rate),1.5,2.0,0.1018,TRUE,0.0673,0.1018 ± 0.0673
FPR_(False_Positive_Rate),2.0,2.0,0.0982,TRUE,0.0457,0.0982 ± 0.0457
FPR_(False_Positive_Rate),1.0,2.5,0.0526,TRUE,0.0277,0.0526 ± 0.0277
FPR_(False_Positive_Rate),1.5,2.5,0.1018,TRUE,0.0600,0.1018 ± 0.0600
FPR_(False_Positive_Rate),2.0,2.5,0.1018,TRUE,0.0600,0.1018 ± 0.0600
FPR_(False_Positive_Rate),1.0,3.0,0.1088,TRUE,0.0600,0.1088 ± 0.0600
FPR_(False_Positive_Rate),1.5,3.0,0.1123,TRUE,0.0505,0.1123 ± 0.0505
FPR_(False_Positive_Rate),2.0,3.0,0.2035,TRUE,0.0900,0.2035 ± 0.0900
FPR_(False_Positive_Rate),1.0,3.5,0.0877,TRUE,0.0526,0.0877 ± 0.0526
FPR_(False_Positive_Rate),1.5,3.5,0.2526,TRUE,0.1572,0.2526 ± 0.1572
FPR_(False_Positive_Rate),2.0,3.5,0.2842,TRUE,0.1911,0.2842 ± 0.1911
Matthews_Correlation_Coefficient,1.0,2.0,0.8447,FALSE,0.0328,0.8447 ± 0.0328
Matthews_Correlation_Coefficient,1.5,2.0,0.8435,FALSE,0.0216,0.8435 ± 0.0216
Matthews_Correlation_Coefficient,2.0,2.0,0.8314,FALSE,0.0337,0.8314 ± 0.0337
Matthews_Correlation_Coefficient,1.0,2.5,0.8146,FALSE,0.0452,0.8146 ± 0.0452
Matthews_Correlation_Coefficient,1.5,2.5,0.8302,FALSE,0.0289,0.8302 ± 0.0289
Matthews_Correlation_Coefficient,2.0,2.5,0.7929,FALSE,0.0278,0.7929 ± 0.0278
Matthews_Correlation_Coefficient,1.0,3.0,0.8315,FALSE,0.0335,0.8315 ± 0.0335
Matthews_Correlation_Coefficient,1.5,3.0,0.8446,FALSE,0.0303,0.8446 ± 0.0303
Matthews_Correlation_Coefficient,2.0,3.0,0.7689,FALSE,0.0631,0.7689 ± 0.0631
Matthews_Correlation_Coefficient,1.0,3.5,0.8014,FALSE,0.0305,0.8014 ± 0.0305
Matthews_Correlation_Coefficient,1.5,3.5,0.8091,FALSE,0.0282,0.8091 ± 0.0282
Matthews_Correlation_Coefficient,2.0,3.5,0.7263,FALSE,0.1187,0.7263 ± 0.1187
Matthews_Correlation_Coefficient,1.0,2.0,0.8203,TRUE,0.0172,0.8203 ± 0.0172
Matthews_Correlation_Coefficient,1.5,2.0,0.8187,TRUE,0.0281,0.8187 ± 0.0281
Matthews_Correlation_Coefficient,2.0,2.0,0.8299,TRUE,0.0333,0.8299 ± 0.0333
Matthews_Correlation_Coefficient,1.0,2.5,0.8087,TRUE,0.0408,0.8087 ± 0.0408
Matthews_Correlation_Coefficient,1.5,2.5,0.8345,TRUE,0.0353,0.8345 ± 0.0353
Matthews_Correlation_Coefficient,2.0,2.5,0.8345,TRUE,0.0353,0.8345 ± 0.0353
Matthews_Correlation_Coefficient,1.0,3.0,0.8211,TRUE,0.0360,0.8211 ± 0.0360
