Metric,Pos_Weight,Gamma,Mean_Transfer_Learning_False,Mean_Transfer_Learning_True,Std_Transfer_Learning_False,Std_Transfer_Learning_True,Difference_True_Minus_False,Propagated_Std_True_Minus_False
Matthews_Correlation_Coefficient,1.0,2.0,0.8447,0.8203,0.0328,0.0172,-0.024399999999999977,0.03703619850902628
Matthews_Correlation_Coefficient,1.0,2.5,0.8146,0.8087,0.0452,0.0408,-0.005900000000000016,0.060890721789119896
Matthews_Correlation_Coefficient,1.0,3.0,0.8315,0.8211,0.0335,0.036,-0.010399999999999965,0.049175705383857994
Matthews_Correlation_Coefficient,1.0,3.5,0.8014,0.8321,0.0305,0.0208,0.03069999999999995,0.036917340099199995
Matthews_Correlation_Coefficient,1.5,2.0,0.8435,0.8187,0.0216,0.0281,-0.024800000000000044,0.035442488625941605
Matthews_Correlation_Coefficient,1.5,2.5,0.8302,0.8345,0.0289,0.0353,0.0042999999999999705,0.045621266970569764
Matthews_Correlation_Coefficient,1.5,3.0,0.8446,0.8277,0.0303,0.029,-0.016900000000000026,0.04194150688756903
Matthews_Correlation_Coefficient,1.5,3.5,0.8091,0.723,0.0282,0.0927,-0.08610000000000007,0.09689442708432722
Matthews_Correlation_Coefficient,2.0,2.0,0.8314,0.8299,0.0337,0.0333,-0.0015000000000000568,0.04737699863857989
Matthews_Correlation_Coefficient,2.0,2.5,0.7929,0.8345,0.0278,0.0353,0.04159999999999997,0.04493250493796222
Matthews_Correlation_Coefficient,2.0,3.0,0.7689,0.7755,0.0631,0.0582,0.006599999999999939,0.08584200603434194
Matthews_Correlation_Coefficient,2.0,3.5,0.7263,0.7049,0.1187,0.1189,-0.021399999999999975,0.16800863073068598
NPV_(Negative_Predictive_Value),1.0,2.0,0.8987,0.8938,0.033,0.027,-0.0049000000000000155,0.04263801121065569
NPV_(Negative_Predictive_Value),1.0,2.5,0.8954,0.8704,0.0518,0.0425,-0.025000000000000022,0.06700365661663549
NPV_(Negative_Predictive_Value),1.0,3.0,0.921,0.9261,0.0343,0.0344,0.005099999999999993,0.04857828733086419
NPV_(Negative_Predictive_Value),1.0,3.5,0.9222,0.9198,0.0391,0.0497,-0.0024000000000000687,0.06323685634185179
NPV_(Negative_Predictive_Value),1.5,2.0,0.9387,0.9182,0.0218,0.0425,-0.020499999999999963,0.047764945305108435
NPV_(Negative_Predictive_Value),1.5,2.5,0.9269,0.9325,0.0412,0.0251,0.005600000000000049,0.04824365243221122
NPV_(Negative_Predictive_Value),1.5,3.0,0.9394,0.9353,0.0251,0.0282,-0.0040999999999999925,0.03775248336202534
NPV_(Negative_Predictive_Value),1.5,3.5,0.9184,0.9459,0.0326,0.04,0.02749999999999997,0.051601937948104235
NPV_(Negative_Predictive_Value),2.0,2.0,0.9243,0.9256,0.0383,0.0257,0.0012999999999999678,0.046123529786866915
NPV_(Negative_Predictive_Value),2.0,2.5,0.9404,0.9325,0.0362,0.0251,-0.007900000000000018,0.04405053915674586
NPV_(Negative_Predictive_Value),2.0,3.0,0.9419,0.9597,0.0373,0.0197,0.017800000000000038,0.04218269787483963
NPV_(Negative_Predictive_Value),2.0,3.5,0.9645,0.9532,0.0344,0.0383,-0.011299999999999977,0.05148057886232438
PPV_(Positive_Predictive_Value),1.0,2.0,0.9486,0.9293,0.0227,0.0396,-0.019299999999999984,0.04564482446017293
PPV_(Positive_Predictive_Value),1.0,2.5,0.9233,0.9435,0.0452,0.0272,0.020199999999999996,0.052753009392829904
PPV_(Positive_Predictive_Value),1.0,3.0,0.914,0.8987,0.0545,0.0521,-0.01529999999999998,0.075396684277228
PPV_(Positive_Predictive_Value),1.0,3.5,0.8841,0.9164,0.0554,0.0436,0.032299999999999995,0.07049907800815554
PPV_(Positive_Predictive_Value),1.5,2.0,0.9063,0.9051,0.025,0.0558,-0.0011999999999999789,0.06114441920568058
PPV_(Positive_Predictive_Value),1.5,2.5,0.9055,0.9048,0.0255,0.0485,-0.0006999999999999229,0.05479507277118993
PPV_(Positive_Predictive_Value),1.5,3.0,0.9078,0.8955,0.0417,0.0425,-0.012300000000000089,0.05954107825694795
PPV_(Positive_Predictive_Value),1.5,3.5,0.8928,0.8038,0.033,0.1026,-0.08900000000000008,0.10777643527228017
PPV_(Positive_Predictive_Value),2.0,2.0,0.9104,0.906,0.0469,0.0389,-0.0043999999999999595,0.06093291392999353
PPV_(Positive_Predictive_Value),2.0,2.5,0.8595,0.9048,0.0416,0.0485,0.04530000000000001,0.06389687003288971
PPV_(Positive_Predictive_Value),2.0,3.0,0.8382,0.8303,0.0627,0.0602,-0.007899999999999907,0.08692140127724587
PPV_(Positive_Predictive_Value),2.0,3.5,0.7943,0.7873,0.0948,0.1099,-0.007000000000000006,0.14513803774338416
Precision(+),1.0,2.0,0.9486,0.9293,0.0227,0.0396,-0.019299999999999984,0.04564482446017293
Precision(+),1.0,2.5,0.9233,0.9435,0.0452,0.0272,0.020199999999999996,0.052753009392829904
Precision(+),1.0,3.0,0.914,0.8987,0.0545,0.0521,-0.01529999999999998,0.075396684277228
Precision(+),1.0,3.5,0.8841,0.9164,0.0554,0.0436,0.032299999999999995,0.07049907800815554
Precision(+),1.5,2.0,0.9063,0.9051,0.025,0.0558,-0.0011999999999999789,0.06114441920568058
Precision(+),1.5,2.5,0.9055,0.9048,0.0255,0.0485,-0.0006999999999999229,0.05479507277118993
Precision(+),1.5,3.0,0.9078,0.8955,0.0417,0.0425,-0.012300000000000089,0.05954107825694795
Precision(+),1.5,3.5,0.8928,0.8038,0.033,0.1026,-0.08900000000000008,0.10777643527228017
Precision(+),2.0,2.0,0.9104,0.906,0.0469,0.0389,-0.0043999999999999595,0.06093291392999353
Precision(+),2.0,2.5,0.8595,0.9048,0.0416,0.0485,0.04530000000000001,0.06389687003288971
Precision(+),2.0,3.0,0.8382,0.8303,0.0627,0.0602,-0.007899999999999907,0.08692140127724587
Precision(+),2.0,3.5,0.7943,0.7873,0.0948,0.1099,-0.007000000000000006,0.14513803774338416
Recall(+),1.0,2.0,0.8912,0.8877,0.0419,0.0364,-0.0034999999999999476,0.05550288280801277
Recall(+),1.0,2.5,0.8877,0.8561,0.0628,0.0574,-0.03160000000000007,0.08507996238833207
Recall(+),1.0,3.0,0.9193,0.9263,0.0423,0.0419,0.007000000000000006,0.05953906280753838
Recall(+),1.0,3.5,0.9228,0.9158,0.049,0.06,-0.007000000000000006,0.07746612162745725
Recall(+),1.5,2.0,0.9404,0.9158,0.0235,0.0546,-0.024600000000000066,0.05944249321823573
Recall(+),1.5,2.5,0.9263,0.9333,0.0471,0.0288,0.007000000000000006,0.055207336468987525
Recall(+),1.5,3.0,0.9404,0.9368,0.0294,0.0342,-0.0036000000000000476,0.045099889135118726
Recall(+),1.5,3.5,0.9193,0.9509,0.0364,0.0471,0.03159999999999996,0.05952621271339208
Recall(+),2.0,2.0,0.9228,0.9263,0.0474,0.0288,0.0035000000000000586,0.055463501512255785
Recall(+),2.0,2.5,0.9439,0.9333,0.04,0.0288,-0.010599999999999943,0.04928934976239796
Recall(+),2.0,3.0,0.9474,0.9649,0.0411,0.0215,0.01749999999999996,0.04638383339052519
Recall(+),2.0,3.5,0.9684,0.9579,0.0337,0.0404,-0.010500000000000065,0.052610360196448
Recall(-),1.0,2.0,0.9509,0.9298,0.0229,0.043,-0.021100000000000008,0.04871765593704196
Recall(-),1.0,2.5,0.9228,0.9474,0.0505,0.0277,0.024600000000000066,0.05759809024611841
Recall(-),1.0,3.0,0.9088,0.8912,0.0625,0.06,-0.01760000000000006,0.08663861725581729
Recall(-),1.0,3.5,0.8737,0.9123,0.0637,0.0526,0.03859999999999997,0.0826102293907964
Recall(-),1.5,2.0,0.9018,0.8982,0.0294,0.0673,-0.0036000000000000476,0.07344147329676877
Recall(-),1.5,2.5,0.9018,0.8982,0.0319,0.06,-0.0036000000000000476,0.06795299846217236
