Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted,Profile,Source_Folder,Source_File
F1_Score,1.0,2.0,0.9285714285714286,FALSE,,0.9286,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,meta_classifier_summary_00-00.csv
F1_Score,1.0,2.5,0.912280701754386,FALSE,,0.9123,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,meta_classifier_summary_00-00.csv
F1_Score,1.0,3.0,0.9380530973451328,FALSE,,0.9381,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,meta_classifier_summary_00-00.csv
F1_Score,1.0,3.5,0.8849557522123894,FALSE,,0.8850,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,meta_classifier_summary_00-00.csv
F1_Score,1.5,2.0,0.9285714285714286,FALSE,,0.9286,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,meta_classifier_summary_00-00.csv
F1_Score,1.5,2.5,0.9285714285714286,FALSE,,0.9286,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,meta_classifier_summary_00-00.csv
F1_Score,1.5,3.0,0.9107142857142856,FALSE,,0.9107,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,meta_classifier_summary_00-00.csv
F1_Score,1.5,3.5,0.9285714285714286,FALSE,,0.9286,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,meta_classifier_summary_00-00.csv
F1_Score,2.0,2.0,0.9107142857142856,FALSE,,0.9107,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,meta_classifier_summary_00-00.csv
F1_Score,2.0,2.5,0.9203539823008848,FALSE,,0.9204,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,meta_classifier_summary_00-00.csv
F1_Score,2.0,3.0,0.9107142857142856,FALSE,,0.9107,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,meta_classifier_summary_00-00.csv
F1_Score,2.0,3.5,0.912280701754386,FALSE,,0.9123,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,meta_classifier_summary_00-00.csv
F1_Score,1.0,2.0,0.9380530973451328,TRUE,,0.9381,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,meta_classifier_summary_00-00.csv
F1_Score,1.0,2.5,0.9298245614035088,TRUE,,0.9298,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,meta_classifier_summary_00-00.csv
F1_Score,1.0,3.0,0.8928571428571429,TRUE,,0.8929,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,meta_classifier_summary_00-00.csv
F1_Score,1.0,3.5,0.913793103448276,TRUE,,0.9138,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,meta_classifier_summary_00-00.csv
F1_Score,1.5,2.0,0.912280701754386,TRUE,,0.9123,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,meta_classifier_summary_00-00.csv
F1_Score,1.5,2.5,0.8947368421052632,TRUE,,0.8947,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,meta_classifier_summary_00-00.csv
F1_Score,1.5,3.0,0.9380530973451328,TRUE,,0.9381,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,meta_classifier_summary_00-00.csv
F1_Score,1.5,3.5,0.9107142857142856,TRUE,,0.9107,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,meta_classifier_summary_00-00.csv
F1_Score,2.0,2.0,0.918918918918919,TRUE,,0.9189,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,meta_classifier_summary_00-00.csv
F1_Score,2.0,2.5,0.9203539823008848,TRUE,,0.9204,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,meta_classifier_summary_00-00.csv
F1_Score,2.0,3.0,0.9203539823008848,TRUE,,0.9204,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,meta_classifier_summary_00-00.csv
F1_Score,2.0,3.5,0.9043478260869564,TRUE,,0.9043,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.0,2.0,0.087719298245614,FALSE,,0.0877,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.0,2.5,0.087719298245614,FALSE,,0.0877,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.0,3.0,0.0701754385964912,FALSE,,0.0702,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.0,3.5,0.1228070175438596,FALSE,,0.1228,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.5,2.0,0.087719298245614,FALSE,,0.0877,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.5,2.5,0.087719298245614,FALSE,,0.0877,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.5,3.0,0.1052631578947368,FALSE,,0.1053,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.5,3.5,0.087719298245614,FALSE,,0.0877,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),2.0,2.0,0.1052631578947368,FALSE,,0.1053,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),2.0,2.5,0.087719298245614,FALSE,,0.0877,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),2.0,3.0,0.1052631578947368,FALSE,,0.1053,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),2.0,3.5,0.087719298245614,FALSE,,0.0877,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.0,2.0,0.0701754385964912,TRUE,,0.0702,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.0,2.5,0.0701754385964912,TRUE,,0.0702,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.0,3.0,0.1228070175438596,TRUE,,0.1228,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.0,3.5,0.0701754385964912,TRUE,,0.0702,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.5,2.0,0.087719298245614,TRUE,,0.0877,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.5,2.5,0.1052631578947368,TRUE,,0.1053,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.5,3.0,0.0701754385964912,TRUE,,0.0702,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),1.5,3.5,0.1052631578947368,TRUE,,0.1053,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),2.0,2.0,0.1052631578947368,TRUE,,0.1053,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),2.0,2.5,0.087719298245614,TRUE,,0.0877,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),2.0,3.0,0.087719298245614,TRUE,,0.0877,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,meta_classifier_summary_00-00.csv
FNR_(False_Negative_Rate),2.0,3.5,0.087719298245614,TRUE,,0.0877,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.0,2.0,5.0,FALSE,,5.0000,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.0,2.5,5.0,FALSE,,5.0000,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.0,3.0,4.0,FALSE,,4.0000,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.0,3.5,7.0,FALSE,,7.0000,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.5,2.0,5.0,FALSE,,5.0000,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.5,2.5,5.0,FALSE,,5.0000,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.5,3.0,6.0,FALSE,,6.0000,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.5,3.5,5.0,FALSE,,5.0000,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,meta_classifier_summary_00-00.csv
FN_(False_Negatives),2.0,2.0,6.0,FALSE,,6.0000,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,meta_classifier_summary_00-00.csv
FN_(False_Negatives),2.0,2.5,5.0,FALSE,,5.0000,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,meta_classifier_summary_00-00.csv
FN_(False_Negatives),2.0,3.0,6.0,FALSE,,6.0000,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,meta_classifier_summary_00-00.csv
FN_(False_Negatives),2.0,3.5,5.0,FALSE,,5.0000,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.0,2.0,4.0,TRUE,,4.0000,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.0,2.5,4.0,TRUE,,4.0000,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.0,3.0,7.0,TRUE,,7.0000,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.0,3.5,4.0,TRUE,,4.0000,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.5,2.0,5.0,TRUE,,5.0000,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.5,2.5,6.0,TRUE,,6.0000,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.5,3.0,4.0,TRUE,,4.0000,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,meta_classifier_summary_00-00.csv
FN_(False_Negatives),1.5,3.5,6.0,TRUE,,6.0000,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,meta_classifier_summary_00-00.csv
FN_(False_Negatives),2.0,2.0,6.0,TRUE,,6.0000,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,meta_classifier_summary_00-00.csv
FN_(False_Negatives),2.0,2.5,5.0,TRUE,,5.0000,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,meta_classifier_summary_00-00.csv
FN_(False_Negatives),2.0,3.0,5.0,TRUE,,5.0000,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,meta_classifier_summary_00-00.csv
FN_(False_Negatives),2.0,3.5,5.0,TRUE,,5.0000,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.0,2.0,0.0526315789473684,FALSE,,0.0526,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.0,2.5,0.087719298245614,FALSE,,0.0877,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.0,3.0,0.0526315789473684,FALSE,,0.0526,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.0,3.5,0.1052631578947368,FALSE,,0.1053,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.5,2.0,0.0526315789473684,FALSE,,0.0526,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.5,2.5,0.0526315789473684,FALSE,,0.0526,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.5,3.0,0.0701754385964912,FALSE,,0.0702,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.5,3.5,0.0526315789473684,FALSE,,0.0526,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),2.0,2.0,0.0701754385964912,FALSE,,0.0702,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),2.0,2.5,0.0701754385964912,FALSE,,0.0702,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),2.0,3.0,0.0701754385964912,FALSE,,0.0702,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),2.0,3.5,0.087719298245614,FALSE,,0.0877,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.0,2.0,0.0526315789473684,TRUE,,0.0526,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.0,2.5,0.0701754385964912,TRUE,,0.0702,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.0,3.0,0.087719298245614,TRUE,,0.0877,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,meta_classifier_summary_00-00.csv
FPR_(False_Positive_Rate),1.0,3.5,0.1052631578947368,TRUE,,0.1053,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,meta_classifier_summary_00-00.csv
