Metric,Pos_Weight,Gamma,Mean,Transfer Learning,Std,Formatted,Summary_Type,Profile,Source_Folder,Source_File
Accuracy,2.0,2.0,0.8947368421052632,TRUE,,0.8947,ensemble_voting,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,ensemble_voting_summary_00-00.csv
Accuracy,2.0,2.5,0.8508771929824561,TRUE,,0.8509,ensemble_voting,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,ensemble_voting_summary_00-00.csv
Accuracy,2.0,3.0,0.7982456140350878,TRUE,,0.7982,ensemble_voting,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,ensemble_voting_summary_00-00.csv
Accuracy,2.0,3.5,0.6842105263157895,TRUE,,0.6842,ensemble_voting,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.0,2.0,0.0156917051052616,FALSE,,0.0157,ensemble_voting,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.0,2.5,0.0203084857943687,FALSE,,0.0203,ensemble_voting,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.0,3.0,0.0150917987141098,FALSE,,0.0151,ensemble_voting,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.0,3.5,0.0131286224097331,FALSE,,0.0131,ensemble_voting,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,2.0,0.0096091676755292,FALSE,,0.0096,ensemble_voting,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,2.5,0.0128920512778061,FALSE,,0.0129,ensemble_voting,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,3.0,0.0146782460795451,FALSE,,0.0147,ensemble_voting,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,3.5,0.0124053821260797,FALSE,,0.0124,ensemble_voting,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,2.0,0.0170094030084783,FALSE,,0.0170,ensemble_voting,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,2.5,0.0150917987141098,FALSE,,0.0151,ensemble_voting,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,3.0,0.031578947368421,FALSE,,0.0316,ensemble_voting,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,3.5,0.070043736062025,FALSE,,0.0700,ensemble_voting,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.0,2.0,0.007017543859649,TRUE,,0.0070,ensemble_voting,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.0,2.5,0.0203084857943688,TRUE,,0.0203,ensemble_voting,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.0,3.0,0.0162695061324486,TRUE,,0.0163,ensemble_voting,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.0,3.5,0.0102297401663952,TRUE,,0.0102,ensemble_voting,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,2.0,0.0142526989555016,TRUE,,0.0143,ensemble_voting,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,2.5,0.0171894017037416,TRUE,,0.0172,ensemble_voting,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,3.0,0.0135894152498505,TRUE,,0.0136,ensemble_voting,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,1.5,3.5,0.0518657736810332,TRUE,,0.0519,ensemble_voting,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,2.0,0.0150917987141098,TRUE,,0.0151,ensemble_voting,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,2.5,0.0146782460795451,TRUE,,0.0147,ensemble_voting,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,3.0,0.0321584259295146,TRUE,,0.0322,ensemble_voting,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,ensemble_voting_summary_00-00.csv
Accuracy_Variance_Across_Folds,2.0,3.5,0.0698677464973328,TRUE,,0.0699,ensemble_voting,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,2.0,0.9210526315789476,FALSE,,0.9211,ensemble_voting,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,2.5,0.9052631578947368,FALSE,,0.9053,ensemble_voting,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,3.0,0.9140350877192984,FALSE,,0.9140,ensemble_voting,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,3.5,0.8982456140350876,FALSE,,0.8982,ensemble_voting,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,2.0,0.9210526315789472,FALSE,,0.9211,ensemble_voting,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,2.5,0.9140350877192984,FALSE,,0.9140,ensemble_voting,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,3.0,0.9210526315789476,FALSE,,0.9211,ensemble_voting,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,3.5,0.9035087719298244,FALSE,,0.9035,ensemble_voting,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,2.0,0.9140350877192984,FALSE,,0.9140,ensemble_voting,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,2.5,0.8929824561403509,FALSE,,0.8930,ensemble_voting,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,3.0,0.8789473684210527,FALSE,,0.8789,ensemble_voting,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,3.5,0.8491228070175438,FALSE,,0.8491,ensemble_voting,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,2.0,0.9087719298245612,TRUE,,0.9088,ensemble_voting,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,2.5,0.9017543859649122,TRUE,,0.9018,ensemble_voting,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,3.0,0.9087719298245616,TRUE,,0.9088,ensemble_voting,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.0,3.5,0.9140350877192984,TRUE,,0.9140,ensemble_voting,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,2.0,0.9070175438596492,TRUE,,0.9070,ensemble_voting,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,2.5,0.9157894736842106,TRUE,,0.9158,ensemble_voting,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,3.0,0.912280701754386,TRUE,,0.9123,ensemble_voting,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,1.5,3.5,0.8491228070175438,TRUE,,0.8491,ensemble_voting,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,2.0,0.9140350877192984,TRUE,,0.9140,ensemble_voting,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,2.5,0.9035087719298244,TRUE,,0.9035,ensemble_voting,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,3.0,0.8807017543859649,TRUE,,0.8807,ensemble_voting,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,ensemble_voting_summary_00-00.csv
Avg_Fold_Accuracy,2.0,3.5,0.8368421052631578,TRUE,,0.8368,ensemble_voting,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,2.0,0.977184675818173,FALSE,,0.9772,ensemble_voting,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,2.5,0.976149013133923,FALSE,,0.9761,ensemble_voting,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,3.0,0.9764618999995957,FALSE,,0.9765,ensemble_voting,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,3.5,0.9689429073626435,FALSE,,0.9689,ensemble_voting,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,2.0,0.9761423683511922,FALSE,,0.9761,ensemble_voting,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,2.5,0.977386168572084,FALSE,,0.9774,ensemble_voting,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,3.0,0.9788973449855932,FALSE,,0.9789,ensemble_voting,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,3.5,0.9719436569805056,FALSE,,0.9719,ensemble_voting,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,2.0,0.9774981505034268,FALSE,,0.9775,ensemble_voting,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,2.5,0.9741838929189196,FALSE,,0.9742,ensemble_voting,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,3.0,0.9748573795164752,FALSE,,0.9749,ensemble_voting,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,3.5,0.9722649650228156,FALSE,,0.9723,ensemble_voting,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,2.0,0.9757711628994729,TRUE,,0.9758,ensemble_voting,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,2.5,0.9742709686177032,TRUE,,0.9743,ensemble_voting,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,3.0,0.9717985227396906,TRUE,,0.9718,ensemble_voting,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.0,3.5,0.9739882900065538,TRUE,,0.9740,ensemble_voting,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,2.0,0.979834492319406,TRUE,,0.9798,ensemble_voting,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,2.5,0.9762102996426538,TRUE,,0.9762,ensemble_voting,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,3.0,0.976343152100434,TRUE,,0.9763,ensemble_voting,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,1.5,3.5,0.9735987637717132,TRUE,,0.9736,ensemble_voting,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,2.0,0.9784163952424384,TRUE,,0.9784,ensemble_voting,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,2.5,0.9713658335382434,TRUE,,0.9714,ensemble_voting,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,3.0,0.9755789905361044,TRUE,,0.9756,ensemble_voting,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,ensemble_voting_summary_00-00.csv
Avg_Fold_PR_AUC,2.0,3.5,0.9722000285779208,TRUE,,0.9722,ensemble_voting,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,2.0,0.9486111111111112,FALSE,,0.9486,ensemble_voting,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,2.5,0.9233195858435704,FALSE,,0.9233,ensemble_voting,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,3.0,0.9139562007022228,FALSE,,0.9140,ensemble_voting,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,3.5,0.8841186916128368,FALSE,,0.8841,ensemble_voting,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,2.0,0.9062634201383996,FALSE,,0.9063,ensemble_voting,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,2.5,0.9054536816964104,FALSE,,0.9055,ensemble_voting,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,3.0,0.907775553442437,FALSE,,0.9078,ensemble_voting,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,3.5,0.8928024083196497,FALSE,,0.8928,ensemble_voting,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,2.0,0.9104410470946508,FALSE,,0.9104,ensemble_voting,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,2.5,0.8594923621460506,FALSE,,0.8595,ensemble_voting,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,3.0,0.8382179981269043,FALSE,,0.8382,ensemble_voting,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,3.5,0.794281136689434,FALSE,,0.7943,ensemble_voting,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,2.0,0.9292656641604008,TRUE,,0.9293,ensemble_voting,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,2.5,0.94352200259321,TRUE,,0.9435,ensemble_voting,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,3.0,0.8986641303495986,TRUE,,0.8987,ensemble_voting,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.0,3.5,0.916359731597557,TRUE,,0.9164,ensemble_voting,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,2.0,0.9051146010186756,TRUE,,0.9051,ensemble_voting,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,2.5,0.904849040163132,TRUE,,0.9048,ensemble_voting,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,3.0,0.8955262274742708,TRUE,,0.8955,ensemble_voting,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,1.5,3.5,0.8037859595492804,TRUE,,0.8038,ensemble_voting,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,2.0,0.906039516353608,TRUE,,0.9060,ensemble_voting,SEARCHER2,transfer_convnext_tiny_40.2_SEARCHER21,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,2.5,0.8765652344260154,TRUE,,0.8766,ensemble_voting,SEARCHER5,transfer_convnext_tiny_40.5_SEARCHER51,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,3.0,0.8303179238560595,TRUE,,0.8303,ensemble_voting,SEARCHER8,transfer_convnext_tiny_40.8_SEARCHER81,ensemble_voting_summary_00-00.csv
Avg_Fold_Precision,2.0,3.5,0.787295987594495,TRUE,,0.7873,ensemble_voting,SEARCHER11,transfer_convnext_tiny_41.1_SEARCHER111,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,2.0,0.9731301939058172,FALSE,,0.9731,ensemble_voting,SEARCHER,transfer_convnext_tiny_38.0_SEARCHER,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,2.5,0.9723299476762082,FALSE,,0.9723,ensemble_voting,SEARCHER3,transfer_convnext_tiny_38.3_SEARCHER3,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,3.0,0.971037242228378,FALSE,,0.9710,ensemble_voting,SEARCHER6,transfer_convnext_tiny_38.6_SEARCHER6,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,3.5,0.9619575253924284,FALSE,,0.9620,ensemble_voting,SEARCHER9,transfer_convnext_tiny_38.9_SEARCHER9,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,2.0,0.9712219144352108,FALSE,,0.9712,ensemble_voting,SEARCHER1,transfer_convnext_tiny_38.1_SEARCHER1,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,2.5,0.9732225300092336,FALSE,,0.9732,ensemble_voting,SEARCHER4,transfer_convnext_tiny_38.4_SEARCHER4,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,3.0,0.9761465066174206,FALSE,,0.9761,ensemble_voting,SEARCHER7,transfer_convnext_tiny_38.7_SEARCHER7,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,3.5,0.9665743305632502,FALSE,,0.9666,ensemble_voting,SEARCHER10,transfer_convnext_tiny_39.0_SEARCHER10,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,2.0,0.9744228993536472,FALSE,,0.9744,ensemble_voting,SEARCHER2,transfer_convnext_tiny_38.2_SEARCHER2,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,2.5,0.9700215450907972,FALSE,,0.9700,ensemble_voting,SEARCHER5,transfer_convnext_tiny_38.5_SEARCHER5,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,3.0,0.970052323791936,FALSE,,0.9701,ensemble_voting,SEARCHER8,transfer_convnext_tiny_38.8_SEARCHER8,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,2.0,3.5,0.966789781471222,FALSE,,0.9668,ensemble_voting,SEARCHER11,transfer_convnext_tiny_39.1_SEARCHER11,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,2.0,0.971191135734072,TRUE,,0.9712,ensemble_voting,SEARCHER,transfer_convnext_tiny_40.0_SEARCHER01,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,2.5,0.9692520775623268,TRUE,,0.9693,ensemble_voting,SEARCHER3,transfer_convnext_tiny_40.3_SEARCHER31,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,3.0,0.9664819944598338,TRUE,,0.9665,ensemble_voting,SEARCHER6,transfer_convnext_tiny_40.6_SEARCHER61,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.0,3.5,0.9690058479532164,TRUE,,0.9690,ensemble_voting,SEARCHER9,transfer_convnext_tiny_40.9_SEARCHER91,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,2.0,0.9760233918128656,TRUE,,0.9760,ensemble_voting,SEARCHER1,transfer_convnext_tiny_40.1_SEARCHER12,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,2.5,0.9717143736534318,TRUE,,0.9717,ensemble_voting,SEARCHER4,transfer_convnext_tiny_40.4_SEARCHER41,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,3.0,0.97331486611265,TRUE,,0.9733,ensemble_voting,SEARCHER7,transfer_convnext_tiny_40.7_SEARCHER71,ensemble_voting_summary_00-00.csv
Avg_Fold_ROC_AUC,1.5,3.5,0.967897814712219,TRUE,,0.9679,ensemble_voting,SEARCHER10,transfer_convnext_tiny_41.0_SEARCHER101,ensemble_voting_summary_00-00.csv
